student_id,name,handle,joined_at
student-01,Laura García,lgarcia,2026-01-12T10:00:00.000Z
student-02,Carlos Mendoza,cmendoza,2026-01-13T10:00:00.000Z
student-03,María Fernández,mfernandez,2026-01-14T10:00:00.000Z
student-04,Adrián Ruiz,aruiz,2026-01-15T10:00:00.000Z
student-05,Nadia Bouzid,nbouzid,2026-01-16T10:00:00.000Z
student-06,Pau Serrano,pserrano,2026-01-12T10:00:00.000Z
student-07,Sofía Ramírez,sramirez,2026-01-13T10:00:00.000Z
student-08,Yusuf Karaca,ykaraca,2026-01-14T10:00:00.000Z
student-09,Elena Kovács,ekovacs,2026-01-15T10:00:00.000Z
student-10,Bruno Oliveira,boliveira,2026-01-16T10:00:00.000Z
student-11,Aisha Rahman,arahman,2026-01-12T10:00:00.000Z
student-12,Marc Vidal,mvidal,2026-01-13T10:00:00.000Z
student-13,Irene Castillo,icastillo,2026-01-14T10:00:00.000Z
student-14,Tomás Aguirre,taguirre,2026-01-15T10:00:00.000Z
student-15,Chiara Rossi,crossi,2026-01-16T10:00:00.000Z
student-16,Diego Salazar,dsalazar,2026-01-12T10:00:00.000Z
